Índice,"Número
colección
planta
madre","Fecha
siembra","Fecha
transplante",Bandeja,Fila,Columna,"Fecha
medición",Longitud tallo (mm),Número de hojas,Ángulo 1 (grados),Ángulo 2 (grados),Ángulo 3 (grados),Ángulo 4 (grados),Ángulo 5 (grados),Ángulo 6 (grados),Ángulo 7 (grados),Ángulo 8 (grados),Ángulo 9 (grados),Ángulo 10 (grados),Ángulo 11 (grados),Ángulo 12 (grados),Ángulo 13 (grados),Ángulo 14 (grados),Ángulo 15 (grados),índice2,Nombre_contorno,OBSERVACIONES,ARCHIVO.TIFF
178,1034,4/5/2019,12/7/2019,4A,3,8,6/22/2023,67.19,14,177,121,168,121,169,143,167,151,132,144,105,108,96,87,NA,1,1_10-06-2023_1034_05-04-2019_07-12-2019_4A_3_8,1 HOJA AMARILLA,1_10-06-2023_1034_05-04-2019_07-12-2019_4A_3_8.tiff
26,1014,4/5/2019,8/6/2019,1A,3,6,6/27/2023,67.23,16,160,125,91,185,96,144,154,275,180,260,95,NA,NA,NA,NA,175,175_26-06-2023_1014_05-04-2019_06-08-2019_1A_3_6,NA,175_26-06-2023_1014_05-04-2019_06-08-2019_1A_3_6.tiff
125,1007,4/5/2019,11/4/2019,3A,3,5,6/23/2023,67.25,23,137,132,175,120,155,160,115,175,125,150,135,110,140,115,100,19,19_10-06-2023_1007_05-04-2019_04-11-2019_3A_3_5,NA,19_10-06-2023_1007_05-04-2019_04-11-2019_3A_3_5.tiff
221,1032,4/5/2019,12/7/2019,5A,2,10,6/24/2023,67.32,9,205,233,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2_10-06-2023_1032_05-04-2019_07-12-2019_5A_2_10,"NECROMASA PERSISTENTE, 2 HOJAAA Mrillas",2_10-06-2023_1032_05-04-2019_07-12-2019_5A_2_10.tiff
168,1004,4/2/2019,12/7/2019,4A,2,8,6/26/2023,67.36,17,170,220,265,165,263,200,175,260,235,180,NA,NA,NA,NA,NA,NA,SIN CONTORNO,"1 ROSETA LATERAL, 1 HOJA AMARILLA",SIN CONTORNO
185,1034,4/5/2019,12/7/2019,4A,4,5,6/22/2023,67.54,19,168,145,130,149,134,144,143,142,142,136,163,112,154,139,141,74,74_21-06-2023_1034_05-04-2019_07-12-2019_4A_4_5,3 hojas amarillas,74_21-06-2023_1034_05-04-2019_07-12-2019_4A_4_5.tiff
180,1041,4/5/2019,12/7/2019,4A,3,10,6/27/2023,67.62,18,220,231,220,190,245,230,168,65,230,210,80,228,222,190,208,169,169_26-06-2023_1041_05-04-2019_07-12-2019_4A_3_10,NA,169_26-06-2023_1041_05-04-2019_07-12-2019_4A_3_10.tiff
46,1009,4/5/2019,8/6/2019,1A,5,6,6/22/2023,68.19,23,238,280,295,272,40,198,93,154,56,100,103,210,240,63,170,32,32_10-06-2023_1009_05-04-2019_06-08-2019_1A_5_6," 1 roseta lateral, 1 hoja amarilla",32_10-06-2023_1009_05-04-2019_06-08-2019_1A_5_6.tiff
234,1034,4/5/2019,12/7/2019,5A,4,3,6/24/2023,68.22,8,114,155,126,170,106,141,63,NA,NA,NA,NA,NA,NA,NA,NA,16,16_10-06-2023_1034_05-04-2019_07-12-2019_5A_4_3,NA,16_10-06-2023_1034_05-04-2019_07-12-2019_5A_4_3.tiff
74,1020,4/5/2019,9/4/2019,2A,3,4,6/27/2023,68.7,26,123,108,145,192,108,137,270,135,173,134,152,160,124,163,140,134,134_25-06-2023_1020_05-04-2019_04-09-2019_2A_3_4,"4 ROSETAS LATERALES, 2 HOJAS AMARILLAS",134_25-06-2023_1020_05-04-2019_04-09-2019_2A_3_4.tiff
93,1009,4/5/2019,9/4/2019,2A,5,3,6/26/2023,69.53,20,100,83,110,208,90,162,185,210,80,190,132,180,254,230,NA,161,161_26-06-2023_1009_05-04-2019_04-09-2019_2A_5_3,2 HOJAS AMARILLAS,161_26-06-2023_1009_05-04-2019_04-09-2019_2A_5_3.tiff
